brand_id	tier	demographic	series_index	series_topic	book_index	status	epub_path	locale
executive_calm_workplace	core	seinen	5	burnout	5	planned		en_US
focus_sprint_workplace	core	seinen	1	adhd_focus	1	planned		en_US
focus_sprint_workplace	core	seinen	1	adhd_focus	2	planned		en_US
focus_sprint_workplace	core	seinen	1	adhd_focus	3	planned		en_US
focus_sprint_workplace	core	seinen	1	adhd_focus	4	planned		en_US
focus_sprint_workplace	core	seinen	1	adhd_focus	5	planned		en_US
focus_sprint_workplace	core	seinen	2	imposter_syndrome	1	planned		en_US
focus_sprint_workplace	core	seinen	2	imposter_syndrome	2	planned		en_US
focus_sprint_workplace	core	seinen	2	imposter_syndrome	3	planned		en_US
focus_sprint_workplace	core	seinen	2	imposter_syndrome	4	planned		en_US
focus_sprint_workplace	core	seinen	2	imposter_syndrome	5	planned		en_US
focus_sprint_workplace	core	seinen	3	social_anxiety	1	planned		en_US
focus_sprint_workplace	core	seinen	3	social_anxiety	2	planned		en_US
focus_sprint_workplace	core	seinen	3	social_anxiety	3	planned		en_US
focus_sprint_workplace	core	seinen	3	social_anxiety	4	planned		en_US
focus_sprint_workplace	core	seinen	3	social_anxiety	5	planned		en_US
focus_sprint_workplace	core	seinen	4	adhd_focus	1	planned		en_US
focus_sprint_workplace	core	seinen	4	adhd_focus	2	planned		en_US
focus_sprint_workplace	core	seinen	4	adhd_focus	3	planned		en_US
focus_sprint_workplace	core	seinen	4	adhd_focus	4	planned		en_US
focus_sprint_workplace	core	seinen	4	adhd_focus	5	planned		en_US
focus_sprint_workplace	core	seinen	5	adhd_focus	1	planned		en_US
focus_sprint_workplace	core	seinen	5	adhd_focus	2	planned		en_US
focus_sprint_workplace	core	seinen	5	adhd_focus	3	planned		en_US
focus_sprint_workplace	core	seinen	5	adhd_focus	4	planned		en_US
focus_sprint_workplace	core	seinen	5	adhd_focus	5	planned		en_US
gentle_growth_healing	core	josei	1	self_worth	1	planned		en_US
gentle_growth_healing	core	josei	1	self_worth	2	planned		en_US
gentle_growth_healing	core	josei	1	self_worth	3	planned		en_US
gentle_growth_healing	core	josei	1	self_worth	4	planned		en_US
gentle_growth_healing	core	josei	1	self_worth	5	planned		en_US
