Discovered 456 arc files across 12 personas.
  [ 204/1000] book_0201 FAIL  8.5s  0w  millennial_women_professionals/compassion_fatigue/watcher/F006
  [ 205/1000] book_0205 FAIL  5.4s  0w  tech_finance_burnout/depression/overwhelm/F006
  [ 206/1000] book_0204 FAIL  9.3s  0w  gen_alpha_students/financial_anxiety/spiral/F006
  [ 207/1000] book_0206 FAIL  7.7s  0w  working_parents/courage/shame/F006
  [ 208/1000] book_0207 FAIL  8.0s  0w  gen_x_sandwich/financial_stress/shame/F006
  [ 209/1000] book_0209 FAIL  7.2s  0w  millennial_women_professionals/anxiety/shame/F006
  [ 210/1000] book_0208 FAIL  8.4s  0w  gen_x_sandwich/anxiety/comparison/F006
  [ 211/1000] book_0210 FAIL  6.5s  0w  millennial_women_professionals/anxiety/comparison/F006
  [ 212/1000] book_0211 FAIL  6.1s  0w  gen_alpha_students/boundaries/false_alarm/F006
  [ 213/1000] book_0212 FAIL  3.2s  0w  first_responders/burnout/watcher/F006
  [ 214/1000] book_0213 FAIL  6.2s  0w  entrepreneurs/sleep_anxiety/false_alarm/F006
  [ 215/1000] book_0214 FAIL  6.2s  0w  gen_alpha_students/grief/watcher/F006
  [ 216/1000] book_0215 FAIL  6.6s  0w  working_parents/courage/shame/F006
  [ 217/1000] book_0216 FAIL  4.5s  0w  entrepreneurs/overthinking/false_alarm/F006
  [ 218/1000] book_0217 FAIL  2.7s  0w  millennial_women_professionals/social_anxiety/shame/F006
  [ 219/1000] book_0218 FAIL  4.0s  0w  tech_finance_burnout/financial_anxiety/spiral/F006
  [ 220/1000] book_0219 FAIL  4.0s  0w  gen_x_sandwich/sleep_anxiety/spiral/F006
  [ 221/1000] book_0220 FAIL  4.2s  0w  gen_alpha_students/compassion_fatigue/overwhelm/F006
  [ 222/1000] book_0221 FAIL  5.2s  0w  gen_alpha_students/imposter_syndrome/comparison/F006
  [ 223/1000] book_0222 FAIL  4.3s  0w  working_parents/social_anxiety/false_alarm/F006
  [ 224/1000] book_0223 FAIL  4.2s  0w  healthcare_rns/overthinking/false_alarm/F006
  [ 225/1000] book_0225 FAIL  3.1s  0w  healthcare_rns/somatic_healing/overwhelm/F006
  [ 226/1000] book_0224 FAIL  6.4s  0w  working_parents/anxiety/overwhelm/F006
  [ 227/1000] book_0226 FAIL  3.4s  0w  healthcare_rns/social_anxiety/shame/F006
  [ 228/1000] book_0227 FAIL  3.0s  0w  first_responders/self_worth/comparison/F006
  [ 229/1000] book_0228 FAIL  7.2s  0w  corporate_managers/courage/false_alarm/F006
  [ 230/1000] book_0229 FAIL  11.1s  0w  first_responders/financial_stress/overwhelm/F006
  [ 231/1000] book_0231 FAIL  11.5s  0w  millennial_women_professionals/financial_stress/shame/F006
  [ 232/1000] book_0230 FAIL  12.7s  0w  tech_finance_burnout/anxiety/spiral/F006
  [ 233/1000] book_0232 FAIL  17.3s  0w  gen_alpha_students/burnout/watcher/F006
  [ 234/1000] book_0235 FAIL  21.0s  0w  entrepreneurs/self_worth/shame/F006
  [ 235/1000] book_0233 FAIL  23.8s  0w  entrepreneurs/anxiety/grief/F006
  [ 236/1000] book_0234 FAIL  23.9s  0w  gen_x_sandwich/anxiety/shame/F006
  [ 237/1000] book_0236 FAIL  17.9s  0w  gen_alpha_students/depression/overwhelm/F006
  [ 238/1000] book_0237 FAIL  9.6s  0w  healthcare_rns/financial_anxiety/overwhelm/F006
  [ 239/1000] book_0239 FAIL  10.1s  0w  tech_finance_burnout/depression/overwhelm/F006
  [ 240/1000] book_0238 FAIL  11.0s  0w  millennial_women_professionals/financial_anxiety/spiral/F006
  [ 241/1000] book_0243 FAIL  4.4s  0w  millennial_women_professionals/overthinking/spiral/F006
  [ 242/1000] book_0240 FAIL  11.3s  0w  millennial_women_professionals/anxiety/watcher/F006
  [ 243/1000] book_0241 FAIL  10.5s  0w  millennial_women_professionals/compassion_fatigue/overwhelm/F006
  [ 244/1000] book_0242 FAIL  8.8s  0w  tech_finance_burnout/depression/overwhelm/F006
  [ 245/1000] book_0244 FAIL  5.3s  0w  first_responders/depression/watcher/F006
  [ 246/1000] book_0245 FAIL  8.0s  0w  millennial_women_professionals/compassion_fatigue/grief/F006
  [ 247/1000] book_0246 FAIL  7.5s  0w  entrepreneurs/depression/overwhelm/F006
  [ 248/1000] book_0247 FAIL  7.0s  0w  working_parents/boundaries/false_alarm/F006
  [ 249/1000] book_0248 FAIL  7.4s  0w  entrepreneurs/self_worth/shame/F006
  [ 250/1000] book_0250 FAIL  3.5s  0w  entrepreneurs/overthinking/false_alarm/F006
  [ 251/1000] book_0251 FAIL  4.8s  0w  working_parents/sleep_anxiety/false_alarm/F006
  [ 252/1000] book_0249 FAIL  6.8s  0w  healthcare_rns/anxiety/overwhelm/F006
  [ 253/1000] book_0253 FAIL  3.1s  0w  entrepreneurs/burnout/overwhelm/F006
  [ 254/1000] book_0252 FAIL  5.4s  0w  tech_finance_burnout/anxiety/false_alarm/F006
  [ 255/1000] book_0254 FAIL  3.4s  0w  corporate_managers/overthinking/watcher/F006
  [ 256/1000] book_0256 FAIL  3.4s  0w  healthcare_rns/financial_anxiety/spiral/F006
  [ 257/1000] book_0255 FAIL  5.3s  0w  gen_z_professionals/boundaries/false_alarm/F006
  [ 258/1000] book_0257 FAIL  4.8s  0w  working_parents/depression/watcher/F006
  [ 259/1000] book_0259 FAIL  2.6s  0w  gen_z_professionals/burnout/watcher/F006
  [ 260/1000] book_0258 FAIL  4.5s  0w  tech_finance_burnout/self_worth/shame/F006
  [ 261/1000] book_0261 FAIL  3.2s  0w  healthcare_rns/boundaries/shame/F006
  [ 262/1000] book_0260 FAIL  3.4s  0w  healthcare_rns/anxiety/shame/F006
  [ 263/1000] book_0262 FAIL  3.0s  0w  millennial_women_professionals/depression/overwhelm/F006
  [ 264/1000] book_0263 FAIL  3.0s  0w  tech_finance_burnout/financial_anxiety/overwhelm/F006
  [ 265/1000] book_0264 FAIL  3.8s  0w  gen_alpha_students/boundaries/shame/F006
  [ 266/1000] book_0265 FAIL  4.0s  0w  tech_finance_burnout/anxiety/shame/F006
  [ 267/1000] book_0266 FAIL  3.8s  0w  working_parents/financial_anxiety/spiral/F006
  [ 268/1000] book_0267 FAIL  3.8s  0w  entrepreneurs/boundaries/shame/F006
  [ 269/1000] book_0270 FAIL  1.9s  0w  corporate_managers/overthinking/watcher/F006
  [ 270/1000] book_0268 FAIL  3.3s  0w  gen_z_professionals/overthinking/spiral/F006
  [ 271/1000] book_0269 FAIL  3.2s  0w  entrepreneurs/financial_anxiety/spiral/F006
  [ 272/1000] book_0271 FAIL  3.6s  0w  gen_z_professionals/anxiety/shame/F006
  [ 273/1000] book_0272 FAIL  4.0s  0w  gen_x_sandwich/compassion_fatigue/grief/F006
  [ 274/1000] book_0273 FAIL  4.2s  0w  first_responders/anxiety/grief/F006
  [ 275/1000] book_0274 FAIL  4.5s  0w  healthcare_rns/anxiety/grief/F006
  [ 276/1000] book_0275 FAIL  4.2s  0w  millennial_women_professionals/courage/shame/F006
  [ 277/1000] book_0276 FAIL  2.1s  0w  healthcare_rns/social_anxiety/false_alarm/F006
  [ 278/1000] book_0277 FAIL  3.0s  0w  corporate_managers/sleep_anxiety/false_alarm/F006
  [ 279/1000] book_0278 FAIL  3.3s  0w  corporate_managers/anxiety/grief/F006
  [ 280/1000] book_0279 FAIL  2.9s  0w  tech_finance_burnout/sleep_anxiety/spiral/F006
  [ 281/1000] book_0280 FAIL  3.0s  0w  gen_x_sandwich/financial_anxiety/shame/F006
  [ 282/1000] book_0282 FAIL  1.4s  0w  millennial_women_professionals/social_anxiety/comparison/F006
  [ 283/1000] book_0284 FAIL  1.4s  0w  first_responders/somatic_healing/overwhelm/F006
  [ 284/1000] book_0281 FAIL  2.6s  0w  working_parents/grief/watcher/F006
  [ 285/1000] book_0283 FAIL  2.6s  0w  gen_x_sandwich/depression/watcher/F006
  [ 286/1000] book_0287 FAIL  1.6s  0w  gen_x_sandwich/overthinking/false_alarm/F006
  [ 287/1000] book_0285 FAIL  3.1s  0w  gen_z_professionals/courage/shame/F006
  [ 288/1000] book_0286 FAIL  2.9s  0w  entrepreneurs/somatic_healing/overwhelm/F006
  [ 289/1000] book_0288 FAIL  1.9s  0w  corporate_managers/social_anxiety/comparison/F006
  [ 290/1000] book_0289 FAIL  2.1s  0w  tech_finance_burnout/social_anxiety/shame/F006
