persona	topic	duration	engine	buildability	chapter_count	count_invariant_cohesion	repetition_severity	rep_score	cohesion_issues
entrepreneurs	overthinking	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	overthinking	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	self_worth	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	self_worth	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	self_worth	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	self_worth	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	self_worth	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	self_worth	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	self_worth	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	sleep_anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	sleep_anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	sleep_anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	sleep_anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	sleep_anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	sleep_anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	sleep_anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	social_anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	social_anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	social_anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	social_anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	social_anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	social_anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	social_anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	somatic_healing	deep_book_4h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	somatic_healing	deep_book_6h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	somatic_healing	extended_book_2h	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
entrepreneurs	somatic_healing	micro_book_15	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	somatic_healing	micro_book_20	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	somatic_healing	short_book_30	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.12	
entrepreneurs	somatic_healing	standard_book	overwhelm	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	anxiety	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	anxiety	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	anxiety	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	anxiety	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
first_responders	anxiety	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
first_responders	anxiety	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
first_responders	anxiety	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	boundaries	deep_book_4h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	boundaries	deep_book_6h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	boundaries	extended_book_2h	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
first_responders	boundaries	micro_book_15	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
first_responders	boundaries	micro_book_20	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
first_responders	boundaries	short_book_30	comparison	PLANNABLE	20	PASS	MEDIUM	0.12	
first_responders	boundaries	standard_book	comparison	PLANNABLE	20	PASS	MEDIUM	0.185	
