book_id	topic	persona	teacher	format	wc	ontgp	bestseller_verdict	quality_summary_verdict	failure_mode
book_0080_grief_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0081_imposter_syndrome_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0082_overthinking_first_responders	overthinking	first_responders	junko	standard_book	13427	0.6157	PASS	FAIL	RENDERED
book_0083_somatic_healing_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0084_anxiety_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0085_boundaries_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0086_burnout_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0087_compassion_fatigue_gen_x_sandwich	compassion_fatigue	gen_x_sandwich	junko	standard_book	14818	0.6080	PASS	FAIL	RENDERED
book_0088_courage_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0089_depression_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0090_financial_anxiety_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0091_financial_stress_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0092_grief_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0093_imposter_syndrome_gen_z_student			default_teacher			—	MISSING	MISSING	UNCATEGORIZED
book_0094_sleep_anxiety_millennial_women_professionals	sleep_anxiety	millennial_women_professionals	master_wu	standard_book	14993	0.5550	PASS	FAIL	RENDERED
book_0095_social_anxiety_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0096_somatic_healing_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0097_anxiety_working_parents	anxiety	working_parents	ahjan	standard_book	13416	0.5710	PASS	FAIL	RENDERED
book_0098_boundaries_gen_x_sandwich	boundaries	gen_x_sandwich	joshin	standard_book	14726	0.5914	PASS	FAIL	RENDERED
book_0099_burnout_corporate_managers	burnout	corporate_managers	master_feung	standard_book	14551	0.5157	PASS	FAIL	RENDERED
book_0100_compassion_fatigue_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0101_courage_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0102_depression_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0103_financial_anxiety_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0104_overthinking_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0105_self_worth_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0106_sleep_anxiety_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0107_social_anxiety_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0108_somatic_healing_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0109_anxiety_corporate_managers	anxiety	corporate_managers	ra	standard_book	13970	0.5715	PASS	FAIL	RENDERED
book_0110_boundaries_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0111_burnout_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0112_compassion_fatigue_gen_alpha_students			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0113_courage_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0114_grief_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0115_imposter_syndrome_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0116_overthinking_entrepreneurs	overthinking	entrepreneurs	joshin	standard_book	13058	0.5634	PASS	FAIL	RENDERED
book_0117_self_worth_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0118_sleep_anxiety_gen_x_sandwich			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0119_social_anxiety_corporate_managers			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0120_somatic_healing_gen_z_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0121_anxiety_healthcare_rns			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0122_boundaries_gen_alpha_students	boundaries	gen_alpha_students	ra	standard_book	14475	0.6750	PASS	FAIL	RENDERED
book_0123_burnout_first_responders			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0124_financial_anxiety_millennial_women_professionals			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0125_financial_stress_tech_finance_burnout			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0126_grief_entrepreneurs			default_teacher			—	MISSING	MISSING	scene_anchor_density
book_0127_imposter_syndrome_working_parents			default_teacher			—	MISSING	MISSING	scene_anchor_density
